2;26/09/2018 20:51;raulbarcelook;DESDE BOXES x El Garage hoy 19 H Temario @Toyota_Arg presentó el Yaris fabricado en Brasil! @vwargentina el Vento motor 1.4 T En su cumpleaños 80,O Berta recuerda al Berta LR! +del @citroenarg C4 Cactus 1-2 de @RenaultArg en STC2000   Conducción:Raúl Barceló https://t.co/jxyJEubuGN;Neutro
6;26/09/2018 18:00;Totalmedios_com;"@tudiscovery pone en pantalla ""Naturaleza Salvaje By Amarok"" @VWAmarokArg  @vwargentina #FedericoAmador   https://t.co/AApSOEltPf https://t.co/rEdJApLY6G";Neutro
7;26/09/2018 17:13;TheBrandSoup;COBERTURA https://t.co/dlhRdsAoUE - VW AMAROK y su NATURALEZA SALVAJE en DISCOVERY Channel. Enterate todo sobre esta producción conducida por Federico Amador en nuestra nota de cobertura. @tudiscovery @VWArgentina @carvajalprteam @CableFibertel https://t.co/9kzPEPrRZi https://t.co/QknsmtRyEW;Neutro
10;26/09/2018 15:58;InfoAutoAr;El nuevo #Volkswagen #Vento se ofrece con dos tipos de #financiación @vwargentina - A través de su compañía financiera, Volkswagen Financial Services, la firma alemana otorga préstamos prendarios para todos sus modelos. Léelo en la web de @InfoAutoAr (https://t.co/rOMFNVRJXe) https://t.co/PzGyeLDi9a;Neutro
12;26/09/2018 14:29;autofaro;Las camionetas Volkswagen Amarok acompañaron la primera presentación de la categoría de pick-ups del TC en el Autódromo de La Plata. cc @vwargentina @VWAmarokArg https://t.co/3rrDxDZ51x https://t.co/7srgj0QAyx;Neutro
14;26/09/2018 13:53;Carscomar;📺Cars TV  Programa con un clásico SUV japonés Probamos la renovación de la Honda CR-V, un emblema de la marca y del segmento. Además, lanzamiento de @citroenarg C3 Urban Trail y el stand de @vwargentina en La Rural.  https://t.co/C8D40NKulU https://t.co/p20gszRY74;Neutro
15;26/09/2018 13:47;autofaro;Junto con la presentación del Volkswagen Vento, dio inicio su comercialización, que pone en el mercado local dos versiones. cc @vwargentina https://t.co/cstARG7YRE https://t.co/QDWj9oYIhW;Neutro
18;25/09/2018 22:47;autofaro;Volkswagen tuvo presencia en la Feria Forestal Argentina que se llevó a cabo en el Parque del Conocimiento en Posadas, Misiones. cc @vwargentina @VWCamionesBuses https://t.co/63Wx9SoAbc https://t.co/agFOCMqYHJ;Neutro
20;25/09/2018 20:38;carlosdsaavedra;DEJATE LLEVAR POR EL VENTO https://t.co/YeUyvNx47p vía @Visión Auto @vwargentina;Neutro
22;25/09/2018 19:35;DNDConsumidor;@diego_tiseira @vwargentina @DPNArgentina ¡Hola! La empresa debe ofrecerte trato digno y correcta atención. Reclamá acá → https://t.co/VI6XE5CVmb.;Neutro
23;25/09/2018 18:36;dcoronel;"#TCPickUp. Martin Sorrondegui, gerente de ventas de @vwargentina: ""ntro. acuerdo abarca la incorporación de nuestras Amarok como vehículos de rescate. Las Amarok que compitan lo harán de forma privada y por decisión de cada equipo"". Vía @visionautoarg";Neutro
24;25/09/2018 18:25;FlipiMcGough;Nuevo #VW #Vento de @vwargentina 🙌🙌🙌🙌 Este sábado todos los detalles en #CentralFOXNitro #Industria #FOXSports3 tomasamorena @carolina_jalon @ Greater Buenos Aires https://t.co/ylPV8Wg2dj;Neutro
25;25/09/2018 17:50;GuidoTonelli;Martes de producción para @routieretest con el @vwargentina #NuevoVento ✔️ https://t.co/zPT2l17ldL;Neutro
26;25/09/2018 16:52;cupandcakec;Pastel Combi Clasica @vwmx @VW @vwargentina @VWMexico @VWChile https://t.co/7xyjooiSS1;Neutro
