2018-10-11 20:41:52,ViajarSiempre,"@nomecallomasok @PabloK75 @Aerolineas_AR Yo hace muchos años ya había visto manzanas en EEUU, lógicamente de Río Negro, es un orgullo ver productos nuestros, tan nobles en el exterior!",Positivo
2018-10-11 20:34:53,AdrMaidana,"@NNprytuluk @PabloK75 @Aerolineas_AR Nunca se fue... Siempre estuvo AR Cargo... Son quienes sacan esos arándanos de hecho, entre otras millones de cosas que no se publicitan",Neutro
2018-10-11 20:31:09,NNprytuluk,@PabloK75 @Aerolineas_AR Por esto siempre pienso que debería volver Aerolíneas Cargo,Positivo
2018-10-11 20:28:32,Flight_News16,"@Aerolineas_AR  lo transporta a Miami y Nueva York, como así también a Madrid y Roma, desde donde se distribuye a Amsterdam, Fráncfort y Múnich, las ciudades donde más se consume.",Neutro
2018-10-11 20:23:49,Flight_News16,"@Aerolineas_AR completó la semana pasada el envío a EE.UU. de un cargamento de arándanos producidos en Tucumán, los cuales forman parte de las 16 mil tn que anualmente exporta el país, sobre una producción total de 21 mil. Cada semana parten 42 vuelos con un total de 300 tn. https://t.co/WsPIqwaQLS",Neutro
2018-10-11 20:13:58,PabloK75,300 toneladas de arándanos por semana se van por @Aerolineas_AR   https://t.co/wiywEraGMF,Neutro
2018-10-11 20:12:57,AleSchwartz1,"@Aerolineas_AR vuelo que cambió de horario, demasiada gente, soy muy muy muy fobica y la falta de distancia interpersonal me está matando.",Negativo
2018-10-11 19:43:13,martindponte,@Aerolineas_AR hola fue consulta por DM,Negativo
2018-10-11 19:33:45,Gon_lam,@Aerolineas_AR imposible comunicarme por telefono. Necesito cambiar pasajes y no se puede online.,Negativo
2018-10-11 18:54:12,yesicak,"@DNDConsumidor @Aerolineas_AR @MindeTransporte termine de cargar TODOS LOS DATOS y me dice que la pagina no funciona, parece el colmo, estoy haciendo un reclamo porque @Aerolineas_AR me cag* por una pagina web y @DNDConsumidor me pasa una pagina que no funciona 😡 idem lo de aerolineas",Negativo
2018-10-11 18:47:44,LelyBrito79,"@Aerolineas_AR necesito saber cómo cambio mis pasajes, si pudiesen responder algunos de mis mails se lo agradecería.",Negativo
2018-10-11 18:44:20,Chicho30125858,@Aerolineas_AR Mentira!!! Ni en esta ni en la otra promoción conseguí esos precios desde Salta.. capaz que no la consideran dentro de Argentina,Negativo
2018-10-11 18:14:02,ArielBrizuela8,La mina era más mentirosa que promo de @Aerolineas_AR  jaja.. Andaaa!! https://t.co/3YTaoRphpT,Negativo
2018-10-11 18:10:28,karilamas17,"@panchada @Aerolineas_AR Ok,, gracias!!👍🖐🖐",Positivo
2018-10-11 18:09:46,panchada,@karilamas17 @Aerolineas_AR Siempre mitad d semana es más barato un vuelo y elijo la hora q sale menos q por lo general es o muy temprano o mediodía...,Positivo
2018-10-11 18:06:26,karilamas17,"@HCAQUILMES @Aerolineas_AR Haaa, gracias",Positivo
2018-10-11 18:05:52,karilamas17,"@panchada @Aerolineas_AR Cómo haces?,,a qué hora y fecha mas baratos?",Neutro
2018-10-11 17:25:30,DNDConsumidor,"@nicolas_zad @Aerolineas_AR ¡Hola! Si encontraste una oferta que te pareció engañosa, podés reclamar acá → https://t.co/VI6XE5CVmb.",Neutro
2018-10-11 17:06:18,SuFuentesA,@Aerolineas_AR me cambiaron el horario de un vuelo y perdí la conexión. Tuve q volver a comprar un pasaje q me salió una fortuna y ustedes no me dan ninguna rtta. a mi solicitud de compensación a este problema que no sólo fue económico sino que me causó inconvenientes adicionales,Negativo
2018-10-11 16:46:49,andycai71,"@Aerolineas_AR me pueden explicar para que ponen una promoción de compras de millas y obtener el doble si cuando lo vas hacer no te deja, lo estoy intentando desde ayer 😡😡😡",Negativo
2018-10-11 16:26:50,eldabg,"@Aerolineas_AR Hola. AEP-PDP, la diferencia entre económica y flexible, solo es la posibilidad de cambiar el vuelo? Gracias",Neutro
2018-10-11 16:15:41,zetawaysant,@juangerosa @quiz_viajero @Aerolineas_AR todas las reservas de Aerolíneas Argentinas se ven en Trip Case y desde allí accedés a los tickets electrónicos también.,Neutro
